naselje,obcina,regija
KAL,PIVKA,PRIMORSKO-NOTRANJSKA
KAL,SEMIČ,JUGOVZHODNA SLOVENIJA
KAL,TOLMIN,GORIŠKA
KAL,ZAGORJE OB SAVI,ZASAVSKA
KAL - KORITNICA,BOVEC,GORIŠKA
KAL NAD KANALOM,KANAL,GORIŠKA
KAL PRI DOLAH,LITIJA,ZASAVSKA
KAL PRI KRMELJU,SEVNICA,POSAVSKA
KALCE,KRŠKO,POSAVSKA
KALCE,LOGATEC,OSREDNJESLOVENSKA
KALCE - NAKLO,KRŠKO,POSAVSKA
KALE,ŽALEC,SAVINJSKA
KALIŠE,KAMNIK,OSREDNJESLOVENSKA
KALIŠE,ŽELEZNIKI,GORENJSKA
KALIŠOVEC,KRŠKO,POSAVSKA
KALOBJE,ŠENTJUR,SAVINJSKA
KALŠE,SLOVENSKA BISTRICA,PODRAVSKA
KAMBREŠKO,KANAL,GORIŠKA
KAMENCA NAD LOŽICAMI,KANAL,GORIŠKA
KAMENCE,BREŽICE,POSAVSKA
KAMENCE,ROGAŠKA SLATINA,SAVINJSKA
KAMENICA,METLIKA,JUGOVZHODNA SLOVENIJA
KAMENICA,SEVNICA,POSAVSKA
KAMENIK,ŠMARJE PRI JELŠAH,SAVINJSKA
KAMENO,ŠENTJUR,SAVINJSKA
KAMENČE,BRASLOVČE,SAVINJSKA
KAMENŠKO,SEVNICA,POSAVSKA
KAMNA GORA,SLOVENSKE KONJICE,SAVINJSKA
KAMNA GORCA,ROGAŠKA SLATINA,SAVINJSKA
KAMNA GORICA,RADOVLJICA,GORENJSKA
KAMNI POTOK,TREBNJE,JUGOVZHODNA SLOVENIJA
KAMNI VRH,LITIJA,ZASAVSKA
KAMNI VRH PRI AMBRUSU,IVANČNA GORICA,OSREDNJESLOVENSKA
KAMNI VRH PRI PRIMSKOVEM,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
KAMNICA,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
KAMNICA,MARIBOR,PODRAVSKA
KAMNIK,KAMNIK,OSREDNJESLOVENSKA
KAMNIK POD KRIMOM,BREZOVICA,OSREDNJESLOVENSKA
KAMNIŠKA BISTRICA,KAMNIK,OSREDNJESLOVENSKA
KAMNJE,AJDOVŠČINA,GORIŠKA
KAMNJE,BOHINJ,GORENJSKA
KAMNJE,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
KAMNO,TOLMIN,GORIŠKA
KAMNO BRDO,IVANČNA GORICA,OSREDNJESLOVENSKA
KAMOVCI/KAMAHAZA,LENDAVA/LENDVA,POMURSKA
KAMPEL/CAMPEL,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KANAL,KANAL,GORIŠKA
KANALSKI LOM,TOLMIN,GORIŠKA
KANALSKI VRH,KANAL,GORIŠKA
KANDRŠE - DEL,LITIJA,ZASAVSKA
KANDRŠE - DEL,ZAGORJE OB SAVI,ZASAVSKA
KANIŽA,ŠENTILJ,PODRAVSKA
KANIŽARICA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KANJI DOL,IDRIJA,GORIŠKA
KANJUCE,ŠTORE,SAVINJSKA
KANČEVCI,MORAVSKE TOPLICE,POMURSKA
KAPCA/KAPCA,LENDAVA/LENDVA,POMURSKA
KAPELE,BREŽICE,POSAVSKA
KAPELSKI VRH,RADENCI,POMURSKA
KAPLA,TABOR,SAVINJSKA
KAPLANOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
KAPLJA VAS,PREBOLD,SAVINJSKA
KAPLJA VAS,SEVNICA,POSAVSKA
KAPLJIŠČE,METLIKA,JUGOVZHODNA SLOVENIJA
KAPTOL,KOSTEL,JUGOVZHODNA SLOVENIJA
KARLI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KARLOVICA,VELIKE LAŠČE,OSREDNJESLOVENSKA
KARLČE,KOSTANJEVICA NA KRKI,POSAVSKA
KASAZE,ŽALEC,SAVINJSKA
KASTELEC,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KATARIJA,MORAVČE,OSREDNJESLOVENSKA
KAVČE,VELENJE,SAVINJSKA
KAZLJE,SEŽANA,OBALNO-KRAŠKA
KAČIČE - PARED,DIVAČA,OBALNO-KRAŠKA
KAČJI DOL,ROGAŠKA SLATINA,SAVINJSKA
KAČJI POTOK,KOČEVJE,JUGOVZHODNA SLOVENIJA
KEBELJ,SLOVENSKA BISTRICA,PODRAVSKA
KERINOV GRM,KRŠKO,POSAVSKA
KICAR,PTUJ,PODRAVSKA
KIDRIČEVO,KIDRIČEVO,PODRAVSKA
KILOVČE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
KISOVEC,ZAGORJE OB SAVI,ZASAVSKA
KITNI VRH,IVANČNA GORICA,OSREDNJESLOVENSKA
KLADA,ŠKOFLJICA,OSREDNJESLOVENSKA
KLADJE,GORENJA VAS - POLJANE,GORENJSKA
KLADJE,LAŠKO,SAVINJSKA
KLADJE NAD BLANCO,SEVNICA,POSAVSKA
KLADJE PRI KRMELJU,SEVNICA,POSAVSKA
KLADNART,VOJNIK,SAVINJSKA
KLAKE,KOZJE,SAVINJSKA
KLANC,DOBRNA,SAVINJSKA
KLANCE,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
KLANEC,KOMENDA,OSREDNJESLOVENSKA
KLANEC PRI GABROVKI,LITIJA,ZASAVSKA
KLANEC PRI KOMNU,KOMEN,OBALNO-KRAŠKA
KLANEC PRI KOZINI,HRPELJE - KOZINA,OBALNO-KRAŠKA
KLAVŽE,TOLMIN,GORIŠKA
KLEK,TRBOVLJE,ZASAVSKA
KLEMENČEVO,KAMNIK,OSREDNJESLOVENSKA
KLENIK,LITIJA,ZASAVSKA
KLENIK,PIVKA,PRIMORSKO-NOTRANJSKA
KLENOVIK,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
KLENOVO,LAŠKO,SAVINJSKA
KLEČ,KOČEVJE,JUGOVZHODNA SLOVENIJA
KLEČE PRI DOLU,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
KLEČET,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
KLINJA VAS,KOČEVJE,JUGOVZHODNA SLOVENIJA
KLJUČAROVCI PRI LJUTOMERU,KRIŽEVCI,POMURSKA
KLJUČEVICA,TRBOVLJE,ZASAVSKA
KLOKOČOVNIK,SLOVENSKE KONJICE,SAVINJSKA
KLOPCE,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
KLOPCE,SLOVENSKA BISTRICA,PODRAVSKA
KLOPCE,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
KLOŠTER,METLIKA,JUGOVZHODNA SLOVENIJA
KNAPE,ŠKOFJA LOKA,GORENJSKA
KNEJ,VELIKE LAŠČE,OSREDNJESLOVENSKA
KNEZDOL,TRBOVLJE,ZASAVSKA
KNEŠKE RAVNE,TOLMIN,GORIŠKA
KNEŽA,TOLMIN,GORIŠKA
KNEŽAK,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
KNEŽINA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KNEŽJA LIPA,KOČEVJE,JUGOVZHODNA SLOVENIJA
KNEŽJA NJIVA,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
KNEŽJA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
KOBARID,KOBARID,GORIŠKA
KOBDILJ,KOMEN,OBALNO-KRAŠKA
KOBILE,KRŠKO,POSAVSKA
KOBILJE,KOBILJE,POMURSKA
KOBILŠČAK,RADENCI,POMURSKA
KOBJEGLAVA,KOMEN,OBALNO-KRAŠKA
KOBLARJI,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOBLE,SLOVENSKE KONJICE,SAVINJSKA
KOBLEK,VOJNIK,SAVINJSKA
KOBOLI,KOMEN,OBALNO-KRAŠKA
KOCJAN,RADENCI,POMURSKA
KODRETI,KOMEN,OBALNO-KRAŠKA
KOG,ORMOŽ,PODRAVSKA
KOGLO,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
KOJSKO,BRDA,GORIŠKA
KOKARJE,NAZARJE,SAVINJSKA
KOKOLAJNŠČAK,SVETI JURIJ OB ŠČAVNICI,POMURSKA
KOKORIČI,KRIŽEVCI,POMURSKA
KOKOŠNJE,DOMŽALE,OSREDNJESLOVENSKA
KOKRA,PREDDVOR,GORENJSKA
KOKRICA,KRANJ,GORENJSKA
KOLAČNO,SLOVENSKE KONJICE,SAVINJSKA
KOLENČA VAS,DOBREPOLJE,OSREDNJESLOVENSKA
KOLIČEVO,DOMŽALE,OSREDNJESLOVENSKA
KOLK,ZAGORJE OB SAVI,ZASAVSKA
KOLOMBAN/COLOMBANO,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOLOVEC,DOMŽALE,OSREDNJESLOVENSKA
KOLOVRAT,ZAGORJE OB SAVI,ZASAVSKA
KOLUDRJE,SEVNICA,POSAVSKA
KOMANIJA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
KOMARNA VAS,SEMIČ,JUGOVZHODNA SLOVENIJA
KOMARNICA,CERKVENJAK,PODRAVSKA
KOMEN,KOMEN,OBALNO-KRAŠKA
KOMENDA,KOMENDA,OSREDNJESLOVENSKA
KOMENDSKA DOBRAVA,KOMENDA,OSREDNJESLOVENSKA
KOMOLEC,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOMPOLE,ŠTORE,SAVINJSKA
KOMPOLJE,DOBREPOLJE,OSREDNJESLOVENSKA
KOMPOLJE,LUKOVICA,OSREDNJESLOVENSKA
KOMPOLJE,SEVNICA,POSAVSKA
KONC,LAŠKO,SAVINJSKA
KONCA VAS,KOČEVJE,JUGOVZHODNA SLOVENIJA
KONEC,NOVO MESTO,JUGOVZHODNA SLOVENIJA
KONJ,LITIJA,ZASAVSKA
KONJIŠKA VAS,SLOVENSKE KONJICE,SAVINJSKA
KONJSKI VRH,LUČE,SAVINJSKA
KONJSKO,SEVNICA,POSAVSKA
KONJSKO,VOJNIK,SAVINJSKA
KONJŠICA - DEL,LITIJA,ZASAVSKA
KONJŠICA - DEL,ZAGORJE OB SAVI,ZASAVSKA
KONUŠKO,ŠMARJE PRI JELŠAH,SAVINJSKA
KOPAČNICA,GORENJA VAS - POLJANE,GORENJSKA
KOPER/CAPODISTRIA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOPIVNIK,RAČE - FRAM,PODRAVSKA
KOPRIVA,RAZKRIŽJE,POMURSKA
KOPRIVA,SEŽANA,OBALNO-KRAŠKA
KOPRIVNA,ČRNA NA KOROŠKEM,KOROŠKA
KOPRIVNICA,KRŠKO,POSAVSKA
KOPRIVNIK,KOSTANJEVICA NA KRKI,POSAVSKA
KOPRIVNIK,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOPRIVNIK,ŽIRI,GORENJSKA
KOPRIVNIK V BOHINJU,BOHINJ,GORENJSKA
KORAČICE,SVETI TOMAŽ,PODRAVSKA
KORENITKA,TREBNJE,JUGOVZHODNA SLOVENIJA
KORENJAK,ZAVRČ,PODRAVSKA
KORENO,LUKOVICA,OSREDNJESLOVENSKA
KORENO NAD HORJULOM,HORJUL,OSREDNJESLOVENSKA
KORETNO,ŠMARJE PRI JELŠAH,SAVINJSKA
KORITA,IDRIJA,GORIŠKA
KORITA,TREBNJE,JUGOVZHODNA SLOVENIJA
KORITA NA KRASU,MIREN - KOSTANJEVICA,GORIŠKA
KORITNICA,KRŠKO,POSAVSKA
KORITNICA,TOLMIN,GORIŠKA
KORITNICE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
KORITNO,BLED,GORENJSKA
KORITNO,BREŽICE,POSAVSKA
KORITNO,MAJŠPERK,PODRAVSKA
KORITNO,OPLOTNICA,PODRAVSKA
KOROMAČI - BOŠKINI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOROVCI,CANKOVA,POMURSKA
KOROŠKA BELA,JESENICE,GORENJSKA
KOROŠKA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
KOROŠKA VAS NA POHORJU,ZREČE,SAVINJSKA
KOROŠKI SELOVEC,RAVNE NA KOROŠKEM,KOROŠKA
KOROŠČE,CERKNICA,PRIMORSKO-NOTRANJSKA
KORPE,LUKOVICA,OSREDNJESLOVENSKA
KORPLJE,SLOVENSKA BISTRICA,PODRAVSKA
KORPULE,ŠMARJE PRI JELŠAH,SAVINJSKA
KORTE,IZOLA/ISOLA,OBALNO-KRAŠKA
KORTINE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOSEZE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
KOSEZE,VODICE,OSREDNJESLOVENSKA
KOSEČ,KOBARID,GORIŠKA
KOSOVELJE,SEŽANA,OBALNO-KRAŠKA
KOSTANJ,KAMNIK,OSREDNJESLOVENSKA
KOSTANJEK,KRŠKO,POSAVSKA
KOSTANJEVEC,SLOVENSKA BISTRICA,PODRAVSKA
KOSTANJEVICA,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
KOSTANJEVICA NA KRASU,MIREN - KOSTANJEVICA,GORIŠKA
KOSTANJEVICA NA KRKI,KOSTANJEVICA NA KRKI,POSAVSKA
KOSTEL,KOSTEL,JUGOVZHODNA SLOVENIJA
KOSTREVNICA,ZAGORJE OB SAVI,ZASAVSKA
KOSTRIVNICA,ŠENTJUR,SAVINJSKA
KOT,IG,OSREDNJESLOVENSKA
KOT NA POHORJU,SLOVENSKA BISTRICA,PODRAVSKA
KOT OB KOLPI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KOT PRI DAMLJU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KOT PRI PREVALJAH,PREVALJE,KOROŠKA
KOT PRI RAKITNICI,RIBNICA,JUGOVZHODNA SLOVENIJA
KOT PRI RIBNICI,RIBNICA,JUGOVZHODNA SLOVENIJA
KOT PRI VELIKI SLEVICI,VELIKE LAŠČE,OSREDNJESLOVENSKA
KOT/KOT,LENDAVA/LENDVA,POMURSKA
KOTEL,SODRAŽICA,JUGOVZHODNA SLOVENIJA
KOTI,NOVO MESTO,JUGOVZHODNA SLOVENIJA
KOTLJE,RAVNE NA KOROŠKEM,KOROŠKA
KOTREDEŽ,ZAGORJE OB SAVI,ZASAVSKA
KOVAČA VAS,SLOVENSKA BISTRICA,PODRAVSKA
KOVAČA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KOVAČEVCI,GRAD,POMURSKA
KOVAČJI GRAD,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
KOVAŠKI VRH,OPLOTNICA,PODRAVSKA
KOVK,AJDOVŠČINA,GORIŠKA
KOVK,HRASTNIK,ZASAVSKA
KOVOR,TRŽIČ,GORENJSKA
KOVSKI VRH,ŠKOFJA LOKA,GORENJSKA
KOVČICE,HRPELJE - KOZINA,OBALNO-KRAŠKA
KOZANA,BRDA,GORIŠKA
KOZARIŠČE,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
KOZARNO,BRDA,GORIŠKA
KOZARŠČE,TOLMIN,GORIŠKA
KOZINA,HRPELJE - KOZINA,OBALNO-KRAŠKA
KOZJAK,MISLINJA,KOROŠKA
KOZJAK NAD PESNICO,KUNGOTA,PODRAVSKA
KOZJAK PRI CERŠAKU,ŠENTILJ,PODRAVSKA
KOZJANE,DIVAČA,OBALNO-KRAŠKA
KOZJE,KOZJE,SAVINJSKA
KOZJI VRH,PODVELKA,KOROŠKA
KOZJI VRH NAD DRAVOGRADOM,DRAVOGRAD,KOROŠKA
KOZLOVIČI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOZMERICE,TOLMIN,GORIŠKA
KOZMINCI,PODLEHNIK,PODRAVSKA
KOČARIJA,KOSTANJEVICA NA KRKI,POSAVSKA
KOČARJI,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOČE,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOČE,POSTOJNA,PRIMORSKO-NOTRANJSKA
KOČEVJE,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOČEVSKA REKA,KOČEVJE,JUGOVZHODNA SLOVENIJA
KOČEVSKE POLJANE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
KOČICE,ŽETALE,PODRAVSKA
KOČKI VRH,SVETI JURIJ OB ŠČAVNICI,POMURSKA
KOČNA,JESENICE,GORENJSKA
KOČNO,KRŠKO,POSAVSKA
KOČNO OB LOŽNICI,SLOVENSKA BISTRICA,PODRAVSKA
KOČNO PRI POLSKAVI,SLOVENSKA BISTRICA,PODRAVSKA
KOŠAKI,MARIBOR,PODRAVSKA
KOŠAROVCI,GORNJI PETROVCI,POMURSKA
KOŠIŠE,KAMNIK,OSREDNJESLOVENSKA
KOŠKE POLJANE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
KOŠNICA,ŠENTJUR,SAVINJSKA
KOŠNICA PRI CELJU,CELJE,SAVINJSKA
KOŠTABONA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KOŠČAKE,CERKNICA,PRIMORSKO-NOTRANJSKA
KOŽBANA,BRDA,GORIŠKA
KOŽLJEK,CERKNICA,PRIMORSKO-NOTRANJSKA
KOŽLJEVEC,GROSUPLJE,OSREDNJESLOVENSKA
KOŽMANI,AJDOVŠČINA,GORIŠKA
KRABERK,SLOVENSKE KONJICE,SAVINJSKA
KRAJNA,TIŠINA,POMURSKA
KRAJNA BRDA,SEVNICA,POSAVSKA
KRAJNA VAS,SEŽANA,OBALNO-KRAŠKA
KRAJNO BRDO,LUKOVICA,OSREDNJESLOVENSKA
KRAJNČICA,ŠENTJUR,SAVINJSKA
KRALJEVCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
KRALJI,KOČEVJE,JUGOVZHODNA SLOVENIJA
KRAMAROVCI,ROGAŠOVCI,POMURSKA
KRAMPLJE,BLOKE,PRIMORSKO-NOTRANJSKA
KRANJ,KRANJ,GORENJSKA
KRANJSKA GORA,KRANJSKA GORA,GORENJSKA
KRANJČE,CERKNICA,PRIMORSKO-NOTRANJSKA
KRAPJE,LJUTOMER,POMURSKA
KRASINEC,METLIKA,JUGOVZHODNA SLOVENIJA
KRASNA,POLJČANE,PODRAVSKA
KRASNO,BRDA,GORIŠKA
KRAČALI,SODRAŽICA,JUGOVZHODNA SLOVENIJA
KRAŠCE,MORAVČE,OSREDNJESLOVENSKA
KRAŠKA VAS,BREŽICE,POSAVSKA
KRAŠNJA,LUKOVICA,OSREDNJESLOVENSKA
KRAŠNJI VRH,METLIKA,JUGOVZHODNA SLOVENIJA
KRAŠČI,CANKOVA,POMURSKA
KRED,KOBARID,GORIŠKA
KREGARJEVO,KAMNIK,OSREDNJESLOVENSKA
KREGOLIŠČE,SEŽANA,OBALNO-KRAŠKA
KREMBERK,SVETA ANA,PODRAVSKA
KREMEN,KRŠKO,POSAVSKA
KREMENCA,CERKNICA,PRIMORSKO-NOTRANJSKA
KREMENICA,IG,OSREDNJESLOVENSKA
KREMENIK,GORENJA VAS - POLJANE,GORENJSKA
KREPLJE,SEŽANA,OBALNO-KRAŠKA
KRESNICA,ŠENTILJ,PODRAVSKA
KRESNICE,LITIJA,ZASAVSKA
KRESNIŠKE POLJANE,LITIJA,ZASAVSKA
KRESNIŠKI VRH,LITIJA,ZASAVSKA
KRISTAN VRH,ŠMARJE PRI JELŠAH,SAVINJSKA
KRIVI VRH,SVETA ANA,PODRAVSKA
KRIVICA,ŠENTJUR,SAVINJSKA
KRIVO BRDO,GORENJA VAS - POLJANE,GORENJSKA
KRIVOGLAVICE,METLIKA,JUGOVZHODNA SLOVENIJA
KRIVČEVO,KAMNIK,OSREDNJESLOVENSKA
KRIŠKA REBER,TREBNJE,JUGOVZHODNA SLOVENIJA
KRIŠKA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
KRIŠTANCI,LJUTOMER,POMURSKA
KRIŠTANDOL,HRASTNIK,ZASAVSKA
KRIŽ,KOMENDA,OSREDNJESLOVENSKA
KRIŽ,SEVNICA,POSAVSKA
KRIŽ,SEŽANA,OBALNO-KRAŠKA
KRIŽ,TREBNJE,JUGOVZHODNA SLOVENIJA
KRIŽAN VRH,BISTRICA OB SOTLI,POSAVSKA
KRIŽATE,MORAVČE,OSREDNJESLOVENSKA
KRIŽE,BREŽICE,POSAVSKA
KRIŽE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
KRIŽE,TRŽIČ,GORENJSKA
KRIŽEVCI,GORNJI PETROVCI,POMURSKA
KRIŽEVCI PRI LJUTOMERU,KRIŽEVCI,POMURSKA
KRIŽEVEC,ZREČE,SAVINJSKA
KRIŽEVSKA VAS,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
KRIŽEVSKA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
KRIŽEČA VAS,POLJČANE,PODRAVSKA
KRIŽIŠČE,SEVNICA,POSAVSKA
KRIŽMANI,OSILNICA,JUGOVZHODNA SLOVENIJA
KRIŽNA GORA,AJDOVŠČINA,GORIŠKA
KRIŽNA GORA,ŠKOFJA LOKA,GORENJSKA
KRIŽNI VRH,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
KRIŽNI VRH,SLOVENSKA BISTRICA,PODRAVSKA
KRKA,IVANČNA GORICA,OSREDNJESLOVENSKA
KRKAVČE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KRKOVO NAD FARO,KOSTEL,JUGOVZHODNA SLOVENIJA
KRKOVO PRI KARLOVICI,VELIKE LAŠČE,OSREDNJESLOVENSKA
KRMAČINA,METLIKA,JUGOVZHODNA SLOVENIJA
KRMELJ,SEVNICA,POSAVSKA
KRN,KOBARID,GORIŠKA
KRNCI,MORAVSKE TOPLICE,POMURSKA
KRNICA,GORJE,GORENJSKA
KRNICA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KRNICA,LUČE,SAVINJSKA
KRNICE,HRASTNIK,ZASAVSKA
KRNICE PRI NOVAKIH,GORENJA VAS - POLJANE,GORENJSKA
KRNČE,RIBNICA,JUGOVZHODNA SLOVENIJA
KROG,MURSKA SOBOTA,POMURSKA
KROMBERK,NOVA GORICA,GORIŠKA
KROPA,RADOVLJICA,GORENJSKA
KRPLIVNIK/KAPORNAK,HODOŠ/HODOS,POMURSKA
KRSINJI VRH,SEVNICA,POSAVSKA
KRSTENICA,KANAL,GORIŠKA
KRTINA,DOMŽALE,OSREDNJESLOVENSKA
KRTINA,TREBNJE,JUGOVZHODNA SLOVENIJA
KRTINCE,ŠMARJE PRI JELŠAH,SAVINJSKA
KRTINOVICA,SEŽANA,OBALNO-KRAŠKA
KRUPA,SEMIČ,JUGOVZHODNA SLOVENIJA
KRUPLIVNIK,GRAD,POMURSKA
KRUŠNI VRH,TREBNJE,JUGOVZHODNA SLOVENIJA
KRUŠČE,CERKNICA,PRIMORSKO-NOTRANJSKA
KRVAVA PEČ,VELIKE LAŠČE,OSREDNJESLOVENSKA
KRVAVI POTOK,HRPELJE - KOZINA,OBALNO-KRAŠKA
KRVAVČJI VRH,SEMIČ,JUGOVZHODNA SLOVENIJA
KRČEVINA,ORMOŽ,PODRAVSKA
KRČEVINA PRI VURBERGU,PTUJ,PODRAVSKA
KRŠIČ,KAMNIK,OSREDNJESLOVENSKA
KRŠKA VAS,BREŽICE,POSAVSKA
KRŠKA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
KRŠKO,KRŠKO,POSAVSKA
KRŽETI,SODRAŽICA,JUGOVZHODNA SLOVENIJA
KRŽIŠČE,CERKNICA,PRIMORSKO-NOTRANJSKA
KRŽIŠČE,KRŠKO,POSAVSKA
KRŽIŠČE PRI ČATEŽU,LITIJA,ZASAVSKA
KUBED,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
KUHLARJI,KOČEVJE,JUGOVZHODNA SLOVENIJA
KUK,TOLMIN,GORIŠKA
KUKAVA,JURŠINCI,PODRAVSKA
KUKENBERK,TREBNJE,JUGOVZHODNA SLOVENIJA
KUKEČ,GORNJI PETROVCI,POMURSKA
KUKMAKA,VELIKE LAŠČE,OSREDNJESLOVENSKA
KUMEN,LOVRENC NA POHORJU,PODRAVSKA
KUMPOLJE,LITIJA,ZASAVSKA
KUNGOTA PRI PTUJU,KIDRIČEVO,PODRAVSKA
KUNOVA,GORNJA RADGONA,POMURSKA
KUNŠPERK,BISTRICA OB SOTLI,POSAVSKA
KUPETINCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
KUPLJENIK,BLED,GORENJSKA
KUPČINJI VRH,MAJŠPERK,PODRAVSKA
KUPŠINCI,MURSKA SOBOTA,POMURSKA
KURETNO,LAŠKO,SAVINJSKA
KURŠINCI,LJUTOMER,POMURSKA
KUTEŽEVO,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
KUTINCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
KUZARJEV KAL,NOVO MESTO,JUGOVZHODNA SLOVENIJA
KUZMA,KUZMA,POMURSKA
KUŠERNIK,PESNICA,PODRAVSKA
KUŠTANOVCI,PUCONCI,POMURSKA
KUŽELIČ,KOSTEL,JUGOVZHODNA SLOVENIJA
KUŽELJ,KOSTEL,JUGOVZHODNA SLOVENIJA
KUŽELJEVEC,IVANČNA GORICA,OSREDNJESLOVENSKA
KVASICA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
LABINJE,CERKNO,GORIŠKA
LABOR,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
LADJA,MEDVODE,OSREDNJESLOVENSKA
LADRA,KOBARID,GORIŠKA
LAHOMNO,LAŠKO,SAVINJSKA
LAHOMŠEK,LAŠKO,SAVINJSKA
LAHONCI,ORMOŽ,PODRAVSKA
LAHOV GRABEN,LAŠKO,SAVINJSKA
LAHOVNA,CELJE,SAVINJSKA
LAHOVO,BLOKE,PRIMORSKO-NOTRANJSKA
LAHOVČE,CERKLJE NA GORENJSKEM,GORENJSKA
LAJŠE,GORENJA VAS - POLJANE,GORENJSKA
LAJŠE,ŽELEZNIKI,GORENJSKA
LANCOVA VAS,VIDEM,PODRAVSKA
LANCOVO,RADOVLJICA,GORENJSKA
LANDEK,VOJNIK,SAVINJSKA
LANDOL,POSTOJNA,PRIMORSKO-NOTRANJSKA
LANIŠE,GORENJA VAS - POLJANE,GORENJSKA
LANIŠE,KAMNIK,OSREDNJESLOVENSKA
LANIŠČE,ŠKOFLJICA,OSREDNJESLOVENSKA
LAPORJE,SLOVENSKA BISTRICA,PODRAVSKA
LAPORJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
LASENO,KAMNIK,OSREDNJESLOVENSKA
LASIGOVCI,DORNAVA,PODRAVSKA
LASTNIČ,PODČETRTEK,SAVINJSKA
LASTOMERCI,GORNJA RADGONA,POMURSKA
LATKOVA VAS,PREBOLD,SAVINJSKA
LAVRICA,ŠKOFLJICA,OSREDNJESLOVENSKA
LAVROVEC,LOGATEC,OSREDNJESLOVENSKA
LAVTARSKI VRH,KRANJ,GORENJSKA
LAZE,BREŽICE,POSAVSKA
LAZE,GORENJA VAS - POLJANE,GORENJSKA
LAZE,LOGATEC,OSREDNJESLOVENSKA
LAZE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
LAZE,VELENJE,SAVINJSKA
LAZE,VELIKE LAŠČE,OSREDNJESLOVENSKA
LAZE NAD KRKO,IVANČNA GORICA,OSREDNJESLOVENSKA
LAZE PRI BOROVNICI,BOROVNICA,OSREDNJESLOVENSKA
LAZE PRI BOŠTANJU,SEVNICA,POSAVSKA
LAZE PRI DOLSKEM,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
LAZE PRI DOMŽALAH,DOMŽALE,OSREDNJESLOVENSKA
